19,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,3,2012,6,2,8.49926774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,4,2012,6,2,8.45356e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,5,2012,6,2,0.000160818516129032,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,6,2012,6,2,0.000143942733333333,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,7,2012,6,2,8.23071612903226e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,8,2012,6,2,0.00046412564516129,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,9,2012,6,2,8.69530666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,10,2012,6,2,6.01214516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,11,2012,6,2,8.16176333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,12,2012,6,2,5.86442903225806e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,1,2013,6,2,4.54864838709677e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,1,2013,6,2,4.54864838709677e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,1,2013,6,2,4.54864838709677e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
